UN SDG Region,Sex,Age Group,Cause,Value,Low,High
Central Asia and Southern Asia,Female,60-64,Chronic obstructive pulmonary disease,8636.38181,3749.4375,15493.86286
Central Asia and Southern Asia,Female,65-69,Chronic obstructive pulmonary disease,12578.1754,5464.81414,22578.97609
Central Asia and Southern Asia,Female,70-74,Chronic obstructive pulmonary disease,16933.35289,7342.46423,30364.68142
Central Asia and Southern Asia,Female,75-79,Chronic obstructive pulmonary disease,17988.87179,7790.73667,32187.8951
Central Asia and Southern Asia,Female,80+,Chronic obstructive pulmonary disease,40193.81001,17407.50756,72153.43125
Central Asia and Southern Asia,Female,All,Chronic obstructive pulmonary disease,105314.1442,45639.02852,188886.235
Central Asia and Southern Asia,Female,0-4,Lower respiratory infections,20053.0331,14991.4928,25812.8363
Central Asia and Southern Asia,Female,5-9,Lower respiratory infections,1248.24566,928.05265,1613.69436
Central Asia and Southern Asia,Female,10-14,Lower respiratory infections,833.10106,617.17168,1076.59819
Central Asia and Southern Asia,Female,15-19,Lower respiratory infections,456.02332,337.03258,589.31447
Central Asia and Southern Asia,Female,20-24,Lower respiratory infections,471.25699,348.26625,608.97729
Central Asia and Southern Asia,Female,25-29,Lower respiratory infections,556.70115,410.69256,719.62276
Central Asia and Southern Asia,Female,30-34,Lower respiratory infections,511.47129,376.48207,661.37964
Central Asia and Southern Asia,Female,65-69,Stroke,14428.09516,7875.0407,21961.58555
Central Asia and Southern Asia,Female,70-74,Stroke,14940.34146,8145.65153,22772.9602
Central Asia and Southern Asia,Female,75-79,Stroke,15521.47359,8454.42084,23579.74468
Central Asia and Southern Asia,Female,80+,Stroke,26568.29418,14370.44783,39961.4351
Central Asia and Southern Asia,Female,All,Stroke,103395.8665,56346.33991,156982.4627
Central Asia and Southern Asia,Female,35-39,Lower respiratory infections,828.13569,612.6405,1069.65489
Central Asia and Southern Asia,Female,40-44,Lower respiratory infections,927.98613,686.32509,1198.39308
Central Asia and Southern Asia,Female,45-49,Lower respiratory infections,1062.92733,787.91762,1371.98036
Central Asia and Southern Asia,Female,50-54,Lower respiratory infections,2126.89382,1576.95353,2741.79747
Central Asia and Southern Asia,Female,55-59,Lower respiratory infections,2813.08782,2084.7754,3626.94993
Central Asia and Southern Asia,Female,60-64,Lower respiratory infections,4994.9398,3709.65288,6442.3761
Central Asia and Southern Asia,Female,65-69,Lower respiratory infections,7340.75296,5452.58826,9466.61202
Central Asia and Southern Asia,Female,70-74,Lower respiratory infections,8802.49962,6533.9261,11356.47918
Central Asia and Southern Asia,Female,75-79,Lower respiratory infections,8527.24505,6325.82305,10993.22335
Central Asia and Southern Asia,Female,80+,Lower respiratory infections,18130.4608,13452.3027,23397.4895
Central Asia and Southern Asia,Female,All,Lower respiratory infections,79684.76159,59270.01405,102822.6985
Central Asia and Southern Asia,Female,25-29,"Trachea, bronchus, lung cancers",36.74977,23.70206,52.34315
Central Asia and Southern Asia,Female,30-34,"Trachea, bronchus, lung cancers",75.15949,48.29047,106.89669
Central Asia and Southern Asia,Female,35-39,"Trachea, bronchus, lung cancers",136.1881,87.52741,193.26281
Central Asia and Southern Asia,Female,40-44,"Trachea, bronchus, lung cancers",254.0795,163.66188,359.85385
Central Asia and Southern Asia,Female,45-49,"Trachea, bronchus, lung cancers",381.23089,245.73068,541.39325
Central Asia and Southern Asia,Female,50-54,"Trachea, bronchus, lung cancers",654.7424,421.25608,925.35171
Central Asia and Southern Asia,Female,55-59,"Trachea, bronchus, lung cancers",766.90777,492.93692,1088.44217
Central Asia and Southern Asia,Female,60-64,"Trachea, bronchus, lung cancers",928.51538,595.94265,1316.24602
Central Asia and Southern Asia,Female,65-69,"Trachea, bronchus, lung cancers",940.13369,602.5051,1334.38899
Central Asia and Southern Asia,Female,70-74,"Trachea, bronchus, lung cancers",914.56948,585.3701,1297.32083
Central Asia and Southern Asia,Female,75-79,"Trachea, bronchus, lung cancers",749.50317,479.20351,1063.39933
Central Asia and Southern Asia,Female,80+,"Trachea, bronchus, lung cancers",906.3237,579.67531,1287.95235
Central Asia and Southern Asia,Female,All,"Trachea, bronchus, lung cancers",6744.10334,4318.6552,9567.34633
Central Asia and Southern Asia,Male,30-34,Ischaemic heart disease,4584.20074,3202.37288,5778.78746
Central Asia and Southern Asia,Male,35-39,Ischaemic heart disease,7998.48675,5576.59282,10082.89529
Central Asia and Southern Asia,Male,40-44,Ischaemic heart disease,11709.4022,8172.68161,14765.00633
Central Asia and Southern Asia,Male,45-49,Ischaemic heart disease,19057.46466,13279.24702,24011.01444
Central Asia and Southern Asia,Male,50-54,Ischaemic heart disease,27373.63359,19068.18008,34493.26047
Central Asia and Southern Asia,Male,55-59,Ischaemic heart disease,38864.00583,27033.10415,48986.24652
Central Asia and Southern Asia,Male,60-64,Ischaemic heart disease,42416.88194,29486.48467,53466.13201
Central Asia and Southern Asia,Male,65-69,Ischaemic heart disease,44839.3359,31177.39565,56540.20794
Central Asia and Southern Asia,Male,70-74,Ischaemic heart disease,40243.63611,27993.54296,50729.07391
Central Asia and Southern Asia,Male,75-79,Ischaemic heart disease,37985.2566,26384.92331,47901.63905
Central Asia and Southern Asia,Male,80+,Ischaemic heart disease,67319.57208,46694.98024,84952.67419
Central Asia and Southern Asia,Male,All,Ischaemic heart disease,344590.1336,239553.1724,434406.2595
Central Asia and Southern Asia,Male,25-29,Stroke,502.81183,272.8496,767.89568
Central Asia and Southern Asia,Male,30-34,Stroke,903.90398,491.71982,1376.83156
Central Asia and Southern Asia,Male,35-39,Stroke,1600.69799,872.76656,2436.74302
Central Asia and Southern Asia,Male,40-44,Stroke,2345.09396,1277.77907,3565.95397
Central Asia and Southern Asia,Male,45-49,Stroke,3828.70646,2087.83167,5816.38721
Central Asia and Southern Asia,Male,50-54,Stroke,6675.17466,3639.74377,10148.84792
Central Asia and Southern Asia,Male,55-59,Stroke,10467.49759,5689.65373,15908.48731
Central Asia and Southern Asia,Male,60-64,Stroke,13827.05026,7511.9232,21015.34608
Central Asia and Southern Asia,Male,65-69,Stroke,16853.58157,9146.4611,25608.83635
Central Asia and Southern Asia,Male,70-74,Stroke,15536.59978,8454.87856,23656.52232
Central Asia and Southern Asia,Male,75-79,Stroke,14872.10666,8080.49191,22587.60086
Central Asia and Southern Asia,Male,25-29,Ischaemic heart disease,2198.25718,1535.7981,2770.05023
Central Asia and Southern Asia,Male,All,Stroke,110001.5716,59727.42817,166983.8095
Central Asia and Southern Asia,Male,25-29,Chronic obstructive pulmonary disease,121.52403,52.71954,212.61953
Central Asia and Southern Asia,Male,30-34,Chronic obstructive pulmonary disease,210.42474,91.20013,370.21016
Central Asia and Southern Asia,Male,60-64,Lower respiratory infections,5358.74622,3981.45076,6915.70807
Central Asia and Southern Asia,Male,65-69,Lower respiratory infections,7014.46228,5206.9163,9050.46347
Central Asia and Southern Asia,Male,70-74,Lower respiratory infections,7933.25887,5899.13792,10236.37184
Central Asia and Southern Asia,Male,75-79,Lower respiratory infections,8635.7604,6423.75295,11147.66945
Central Asia and Southern Asia,Male,80+,Lower respiratory infections,17563.88491,13031.17584,22687.53478
Central Asia and Southern Asia,Male,All,Lower respiratory infections,83870.41996,62504.2817,108396.8061
Central Asia and Southern Asia,Male,25-29,"Trachea, bronchus, lung cancers",59.12813,37.99223,84.03686
Central Asia and Southern Asia,Male,30-34,"Trachea, bronchus, lung cancers",109.86871,70.83676,156.05437
Central Asia and Southern Asia,Male,35-39,"Trachea, bronchus, lung cancers",193.02578,124.47782,271.72817
Central Asia and Southern Asia,Male,40-44,"Trachea, bronchus, lung cancers",380.68966,247.14952,539.10412
Central Asia and Southern Asia,Male,45-49,"Trachea, bronchus, lung cancers",864.80077,560.64328,1227.48254
Central Asia and Southern Asia,Male,50-54,"Trachea, bronchus, lung cancers",1467.79996,949.78588,2089.47983
Central Asia and Southern Asia,Male,55-59,"Trachea, bronchus, lung cancers",2296.8185,1483.20358,3274.54036
Central Asia and Southern Asia,Male,60-64,"Trachea, bronchus, lung cancers",2725.00387,1756.58618,3880.89277
Central Asia and Southern Asia,Male,65-69,"Trachea, bronchus, lung cancers",2867.46673,1846.11197,4071.43707
Central Asia and Southern Asia,Male,70-74,"Trachea, bronchus, lung cancers",2431.99144,1563.242,3437.96364
Central Asia and Southern Asia,Male,75-79,"Trachea, bronchus, lung cancers",1875.42266,1202.53933,2653.29158
Central Asia and Southern Asia,Male,80+,"Trachea, bronchus, lung cancers",1762.34812,1124.81206,2507.05126
Central Asia and Southern Asia,Male,All,"Trachea, bronchus, lung cancers",17034.36432,10954.441,24181.16731
Eastern Asia and South-eastern Asia,Both,25-29,Ischaemic heart disease,1579.57163,1049.16719,1998.35451
Eastern Asia and South-eastern Asia,Both,30-34,Ischaemic heart disease,3398.94473,2271.4546,4289.75685
Central Asia and Southern Asia,Male,35-39,Chronic obstructive pulmonary disease,451.43528,195.59345,802.20274
Central Asia and Southern Asia,Male,40-44,Chronic obstructive pulmonary disease,851.92304,369.50528,1514.18217
Central Asia and Southern Asia,Male,45-49,Chronic obstructive pulmonary disease,1915.93024,830.48655,3409.93018
Central Asia and Southern Asia,Male,50-54,Chronic obstructive pulmonary disease,4339.77694,1882.11391,7733.67875
Central Asia and Southern Asia,Male,55-59,Chronic obstructive pulmonary disease,8406.15268,3643.74284,15008.77613
Central Asia and Southern Asia,Male,60-64,Chronic obstructive pulmonary disease,14519.57494,6289.47825,25886.20143
Central Asia and Southern Asia,Male,65-69,Chronic obstructive pulmonary disease,20856.62804,9034.06072,37216.30701
Central Asia and Southern Asia,Male,70-74,Chronic obstructive pulmonary disease,23660.05719,10253.69628,42043.45969
Central Asia and Southern Asia,Male,75-79,Chronic obstructive pulmonary disease,24641.30277,10676.96439,43722.84248
Central Asia and Southern Asia,Male,80+,Chronic obstructive pulmonary disease,43225.2791,18727.6325,76805.12987
Central Asia and Southern Asia,Male,All,Chronic obstructive pulmonary disease,143200.009,62040.07535,254728.263
Central Asia and Southern Asia,Male,0-4,Lower respiratory infections,24076.52534,17935.86671,31045.09847
Central Asia and Southern Asia,Male,5-9,Lower respiratory infections,985.56013,730.34634,1272.79854
Central Asia and Southern Asia,Male,10-14,Lower respiratory infections,757.8988,559.77774,979.76324
Central Asia and Southern Asia,Male,15-19,Lower respiratory infections,482.24438,356.47826,623.33488
Central Asia and Southern Asia,Male,20-24,Lower respiratory infections,502.38044,373.38941,649.16129
Central Asia and Southern Asia,Male,25-29,Lower respiratory infections,606.79006,449.96278,784.39485
Central Asia and Southern Asia,Male,30-34,Lower respiratory infections,703.01675,518.27739,908.85466
Central Asia and Southern Asia,Male,35-39,Lower respiratory infections,975.81843,721.10406,1259.9983
Central Asia and Southern Asia,Male,40-44,Lower respiratory infections,1104.40323,815.65186,1425.3139
Central Asia and Southern Asia,Male,80+,Stroke,22588.34691,12174.2992,34169.15143
Central Asia and Southern Asia,Male,45-49,Lower respiratory infections,1547.99089,1146.1532,1997.40669
Central Asia and Southern Asia,Male,50-54,Lower respiratory infections,2189.28102,1622.08261,2824.42991
Central Asia and Southern Asia,Male,55-59,Lower respiratory infections,3432.39781,2544.29235,4427.69203
Eastern Asia and South-eastern Asia,Both,All,Stroke,485468.8868,252806.3692,726343.7006
Eastern Asia and South-eastern Asia,Both,30-34,Chronic obstructive pulmonary disease,233.41695,89.3797,441.40914
Eastern Asia and South-eastern Asia,Both,35-39,Chronic obstructive pulmonary disease,330.11786,125.20168,623.90782
Eastern Asia and South-eastern Asia,Both,40-44,Chronic obstructive pulmonary disease,679.26535,264.01768,1276.40734
Eastern Asia and South-eastern Asia,Both,45-49,Chronic obstructive pulmonary disease,1508.93135,589.24743,2834.42004
Eastern Asia and South-eastern Asia,Both,50-54,Chronic obstructive pulmonary disease,3339.01421,1311.33263,6262.74452
Eastern Asia and South-eastern Asia,Both,55-59,Chronic obstructive pulmonary disease,5699.82075,2233.21232,10709.79866
Eastern Asia and South-eastern Asia,Both,60-64,Chronic obstructive pulmonary disease,11093.6653,4344.66142,20854.70627
Eastern Asia and South-eastern Asia,Both,65-69,Chronic obstructive pulmonary disease,20830.83375,8249.61936,38834.52616
Eastern Asia and South-eastern Asia,Both,70-74,Chronic obstructive pulmonary disease,30825.06025,12266.89176,57142.28808
Eastern Asia and South-eastern Asia,Both,75-79,Chronic obstructive pulmonary disease,39083.72582,15580.25686,72314.80905
Eastern Asia and South-eastern Asia,Both,80+,Chronic obstructive pulmonary disease,124846.2617,49663.80196,231780.4458
Eastern Asia and South-eastern Asia,Both,All,Chronic obstructive pulmonary disease,238592.0409,94771.59053,443375.9783
Eastern Asia and South-eastern Asia,Both,0-4,Lower respiratory infections,10553.94493,6669.80807,14514.18204
Eastern Asia and South-eastern Asia,Both,5-9,Lower respiratory infections,344.60681,218.79309,473.47255
Eastern Asia and South-eastern Asia,Both,10-14,Lower respiratory infections,265.16676,167.1312,366.9009
Eastern Asia and South-eastern Asia,Both,15-19,Lower respiratory infections,337.89312,210.52313,469.17496
Eastern Asia and South-eastern Asia,Both,20-24,Lower respiratory infections,437.71666,272.60475,608.54937
Eastern Asia and South-eastern Asia,Both,25-29,Lower respiratory infections,541.12898,335.96637,754.84508
Eastern Asia and South-eastern Asia,Both,30-34,Lower respiratory infections,694.58453,436.46851,963.80332
Eastern Asia and South-eastern Asia,Both,35-39,Lower respiratory infections,746.85386,465.17276,1041.17233
Eastern Asia and South-eastern Asia,Both,40-44,Lower respiratory infections,946.54129,597.62115,1309.55933
Eastern Asia and South-eastern Asia,Both,45-49,Lower respiratory infections,1419.48974,894.75907,1966.41076
Eastern Asia and South-eastern Asia,Both,25-29,Chronic obstructive pulmonary disease,121.92765,44.76587,232.76005
Eastern Asia and South-eastern Asia,Both,35-39,Ischaemic heart disease,4887.21039,3249.48689,6181.88521
Eastern Asia and South-eastern Asia,Both,40-44,Ischaemic heart disease,8587.49465,5718.45468,10856.57813
Eastern Asia and South-eastern Asia,Both,45-49,Ischaemic heart disease,14674.82743,9761.89996,18555.37175
Eastern Asia and South-eastern Asia,Both,50-54,Ischaemic heart disease,23720.43862,15799.48695,29980.81446
Eastern Asia and South-eastern Asia,Both,55-59,Ischaemic heart disease,31284.4578,20809.23015,39565.15885
Eastern Asia and South-eastern Asia,Both,60-64,Ischaemic heart disease,42884.35386,28569.52619,54186.17016
Eastern Asia and South-eastern Asia,Both,65-69,Ischaemic heart disease,61819.78013,41355.2009,77954.79025
Eastern Asia and South-eastern Asia,Both,70-74,Ischaemic heart disease,68827.09601,46105.41958,86870.92999
Eastern Asia and South-eastern Asia,Both,75-79,Ischaemic heart disease,78354.00042,52519.77253,98950.19479
Eastern Asia and South-eastern Asia,Both,80+,Ischaemic heart disease,276571.1745,185334.2936,349218.152
Eastern Asia and South-eastern Asia,Both,All,Ischaemic heart disease,616589.3502,412551.2243,777759.4163
Eastern Asia and South-eastern Asia,Both,25-29,Stroke,855.60123,445.16271,1279.50159
Eastern Asia and South-eastern Asia,Both,30-34,Stroke,1826.59061,950.43814,2730.73562
Eastern Asia and South-eastern Asia,Both,35-39,Stroke,2898.9053,1507.87147,4339.43388
Eastern Asia and South-eastern Asia,Both,40-44,Stroke,5559.75267,2892.98111,8293.31825
Eastern Asia and South-eastern Asia,Both,45-49,Stroke,10543.60338,5485.37493,15751.34219
Eastern Asia and South-eastern Asia,Both,50-54,Stroke,18951.68216,9861.14593,28250.67997
Eastern Asia and South-eastern Asia,Both,55-59,Stroke,25957.26268,13499.52422,38772.33922
Eastern Asia and South-eastern Asia,Both,60-64,Stroke,37610.08978,19561.53937,56079.37003
Eastern Asia and South-eastern Asia,Both,65-69,Stroke,57712.79864,30050.46201,86486.3464
Eastern Asia and South-eastern Asia,Both,70-74,Stroke,66280.88664,34514.91684,99876.61775
Eastern Asia and South-eastern Asia,Both,75-79,Stroke,72775.44569,37895.43859,109542.0782
Eastern Asia and South-eastern Asia,Both,80+,Stroke,184496.268,96155.44952,276089.8202
Eastern Asia and South-eastern Asia,Both,50-54,Lower respiratory infections,2239.87935,1415.29008,3096.16055
Eastern Asia and South-eastern Asia,Both,55-59,Lower respiratory infections,3113.87032,1954.4875,4328.34507
Eastern Asia and South-eastern Asia,Female,45-49,Ischaemic heart disease,3711.11497,2454.82203,4706.33259
Eastern Asia and South-eastern Asia,Female,50-54,Ischaemic heart disease,6350.1985,4216.49455,8041.73922
Eastern Asia and South-eastern Asia,Female,55-59,Ischaemic heart disease,9009.1255,5985.56171,11404.96252
Eastern Asia and South-eastern Asia,Female,60-64,Ischaemic heart disease,14021.72397,9348.43745,17714.45034
Eastern Asia and South-eastern Asia,Female,65-69,Ischaemic heart disease,22934.06052,15365.93542,28921.59446
Eastern Asia and South-eastern Asia,Female,70-74,Ischaemic heart disease,28726.96716,19250.28783,36258.59368
Eastern Asia and South-eastern Asia,Female,75-79,Ischaemic heart disease,35544.69756,23817.43692,44879.29751
Eastern Asia and South-eastern Asia,Female,80+,Ischaemic heart disease,152206.4219,101699.8921,192062.6076
Eastern Asia and South-eastern Asia,Female,All,Ischaemic heart disease,276591.8597,184728.325,348813.8713
Eastern Asia and South-eastern Asia,Female,25-29,Stroke,226.24396,116.42623,336.11427
Eastern Asia and South-eastern Asia,Female,30-34,Stroke,431.65713,224.83477,647.32846
Eastern Asia and South-eastern Asia,Female,35-39,Stroke,767.64853,393.57013,1134.6844
Eastern Asia and South-eastern Asia,Female,40-44,Stroke,1527.45169,795.39155,2290.06745
Eastern Asia and South-eastern Asia,Female,45-49,Stroke,3352.65712,1744.72715,5006.46695
Eastern Asia and South-eastern Asia,Female,50-54,Stroke,6466.65294,3365.70205,9695.91371
Eastern Asia and South-eastern Asia,Female,55-59,Stroke,8907.86684,4634.98483,13362.52513
Eastern Asia and South-eastern Asia,Female,60-64,Stroke,13285.63527,6912.75499,19854.79366
Eastern Asia and South-eastern Asia,Female,65-69,Stroke,22002.71979,11457.50986,32911.70822
Eastern Asia and South-eastern Asia,Female,70-74,Stroke,27485.53537,14305.9318,41174.1398
Eastern Asia and South-eastern Asia,Female,75-79,Stroke,32261.07336,16787.87995,48198.92066
Eastern Asia and South-eastern Asia,Female,80+,Stroke,96754.54378,50416.86398,144466.7974
Eastern Asia and South-eastern Asia,Female,All,Stroke,213469.6858,111163.2583,318411.1508
Eastern Asia and South-eastern Asia,Both,60-64,Lower respiratory infections,4951.18022,3091.73078,6901.3208
Eastern Asia and South-eastern Asia,Both,65-69,Lower respiratory infections,7534.68921,4719.87761,10510.86366
Eastern Asia and South-eastern Asia,Both,70-74,Lower respiratory infections,10153.58851,6366.09635,14196.31477
Eastern Asia and South-eastern Asia,Both,75-79,Lower respiratory infections,13459.50242,8440.86824,18825.7159
Eastern Asia and South-eastern Asia,Both,80+,Lower respiratory infections,66023.65049,40590.96092,93792.91732
Eastern Asia and South-eastern Asia,Both,All,Lower respiratory infections,123764.2872,77191.23735,174228.1931
Eastern Asia and South-eastern Asia,Both,25-29,"Trachea, bronchus, lung cancers",184.92919,112.35024,272.56935
Eastern Asia and South-eastern Asia,Both,30-34,"Trachea, bronchus, lung cancers",501.10728,305.64152,734.54146
Eastern Asia and South-eastern Asia,Both,35-39,"Trachea, bronchus, lung cancers",857.76575,519.98233,1265.49893
Eastern Asia and South-eastern Asia,Both,40-44,"Trachea, bronchus, lung cancers",1929.56249,1167.98877,2849.54336
Eastern Asia and South-eastern Asia,Both,45-49,"Trachea, bronchus, lung cancers",4236.71816,2563.07352,6252.42486
Eastern Asia and South-eastern Asia,Both,50-54,"Trachea, bronchus, lung cancers",8195.08489,4972.89559,12058.7532
Eastern Asia and South-eastern Asia,Both,55-59,"Trachea, bronchus, lung cancers",11791.63124,7157.6468,17362.57573
Eastern Asia and South-eastern Asia,Both,60-64,"Trachea, bronchus, lung cancers",16598.63612,10081.82807,24424.14774
Eastern Asia and South-eastern Asia,Both,65-69,"Trachea, bronchus, lung cancers",22987.29625,13983.79889,33780.10506
Eastern Asia and South-eastern Asia,Both,70-74,"Trachea, bronchus, lung cancers",20725.92853,12575.55731,30506.73032
Eastern Asia and South-eastern Asia,Both,75-79,"Trachea, bronchus, lung cancers",17198.65101,10405.84068,25363.59386
Eastern Asia and South-eastern Asia,Both,80+,"Trachea, bronchus, lung cancers",24696.47823,14801.79479,36691.09181
Eastern Asia and South-eastern Asia,Both,All,"Trachea, bronchus, lung cancers",129903.7891,78647.43978,191668.7932
Eastern Asia and South-eastern Asia,Female,25-29,Ischaemic heart disease,382.70607,252.64858,485.07019
Eastern Asia and South-eastern Asia,Female,30-34,Ischaemic heart disease,740.5621,491.01812,937.78285
Eastern Asia and South-eastern Asia,Female,40-44,Ischaemic heart disease,1900.80661,1258.70667,2409.44773
Eastern Asia and South-eastern Asia,Female,35-39,Ischaemic heart disease,1063.47481,700.43267,1350.23714
Eastern Asia and South-eastern Asia,Female,50-54,Lower respiratory infections,719.70643,452.05951,998.86193
Eastern Asia and South-eastern Asia,Female,25-29,Chronic obstructive pulmonary disease,44.74294,16.16059,85.91813
Eastern Asia and South-eastern Asia,Female,30-34,Chronic obstructive pulmonary disease,77.51228,29.63616,146.31611
Eastern Asia and South-eastern Asia,Female,35-39,Chronic obstructive pulmonary disease,114.53359,43.25615,215.5456
Eastern Asia and South-eastern Asia,Female,40-44,Chronic obstructive pulmonary disease,219.43113,85.20886,412.38804
Eastern Asia and South-eastern Asia,Female,45-49,Chronic obstructive pulmonary disease,484.87679,190.02438,909.32937
Eastern Asia and South-eastern Asia,Female,50-54,Chronic obstructive pulmonary disease,1049.90284,414.20278,1964.01903
Eastern Asia and South-eastern Asia,Female,55-59,Chronic obstructive pulmonary disease,1739.64369,686.02997,3253.13102
Eastern Asia and South-eastern Asia,Female,60-64,Chronic obstructive pulmonary disease,3493.10907,1380.19876,6515.13344
Eastern Asia and South-eastern Asia,Female,65-69,Chronic obstructive pulmonary disease,6948.3651,2777.04859,12832.255
Eastern Asia and South-eastern Asia,Female,70-74,Chronic obstructive pulmonary disease,11016.4357,4411.61221,20278.91713
Eastern Asia and South-eastern Asia,Female,75-79,Chronic obstructive pulmonary disease,15000.69214,6005.47842,27612.12791
Eastern Asia and South-eastern Asia,Female,80+,Chronic obstructive pulmonary disease,57596.32063,22941.43246,106717.4381
Eastern Asia and South-eastern Asia,Female,All,Chronic obstructive pulmonary disease,97785.56589,38982.70124,180959.2847
Eastern Asia and South-eastern Asia,Female,60-64,"Trachea, bronchus, lung cancers",4628.67884,2816.57504,6803.54227
Eastern Asia and South-eastern Asia,Female,65-69,"Trachea, bronchus, lung cancers",6533.47558,3981.07742,9586.62399
Eastern Asia and South-eastern Asia,Female,70-74,"Trachea, bronchus, lung cancers",6133.01785,3725.26404,9009.12463
Eastern Asia and South-eastern Asia,Female,75-79,"Trachea, bronchus, lung cancers",5463.32899,3308.64226,8042.15982
Eastern Asia and South-eastern Asia,Female,80+,"Trachea, bronchus, lung cancers",9261.89015,5545.96595,13759.49137
Eastern Asia and South-eastern Asia,Female,All,"Trachea, bronchus, lung cancers",40332.4,24433.1721,59451.75773
Eastern Asia and South-eastern Asia,Male,25-29,Ischaemic heart disease,1196.86556,796.51862,1512.6193
Eastern Asia and South-eastern Asia,Male,30-34,Ischaemic heart disease,2658.38263,1780.0232,3351.37489
Eastern Asia and South-eastern Asia,Male,35-39,Ischaemic heart disease,3823.73558,2549.23653,4829.88068
Eastern Asia and South-eastern Asia,Female,0-4,Lower respiratory infections,4481.1744,2846.68248,6151.26712
Eastern Asia and South-eastern Asia,Female,5-9,Lower respiratory infections,168.03495,106.45243,231.15164
Eastern Asia and South-eastern Asia,Female,10-14,Lower respiratory infections,108.22245,67.48869,150.63718
Eastern Asia and South-eastern Asia,Female,15-19,Lower respiratory infections,131.74019,81.06646,185.04196
Eastern Asia and South-eastern Asia,Female,20-24,Lower respiratory infections,141.60022,87.79851,197.45175
Eastern Asia and South-eastern Asia,Female,25-29,Lower respiratory infections,174.48268,107.72232,243.90847
Eastern Asia and South-eastern Asia,Female,30-34,Lower respiratory infections,214.57317,132.94002,299.52588
Eastern Asia and South-eastern Asia,Female,35-39,Lower respiratory infections,247.94169,152.53304,347.51057
Eastern Asia and South-eastern Asia,Female,40-44,Lower respiratory infections,295.3767,184.2961,410.98162
Eastern Asia and South-eastern Asia,Female,45-49,Lower respiratory infections,458.67565,286.39835,638.44725
Eastern Asia and South-eastern Asia,Female,60-64,Lower respiratory infections,1584.31473,987.58974,2208.83624
Eastern Asia and South-eastern Asia,Female,65-69,Lower respiratory infections,2595.6901,1629.76911,3608.51672
Eastern Asia and South-eastern Asia,Female,70-74,Lower respiratory infections,3922.52563,2465.42273,5462.21178
Eastern Asia and South-eastern Asia,Female,75-79,Lower respiratory infections,5721.86256,3592.14936,8000.73813
Eastern Asia and South-eastern Asia,Female,80+,Lower respiratory infections,34963.20566,21343.77538,49859.68827
Eastern Asia and South-eastern Asia,Female,All,Lower respiratory infections,56932.89447,35280.95839,80288.49644
Eastern Asia and South-eastern Asia,Female,25-29,"Trachea, bronchus, lung cancers",67.92081,41.29285,100.38004
Eastern Asia and South-eastern Asia,Female,30-34,"Trachea, bronchus, lung cancers",180.73334,110.14337,265.51837
Eastern Asia and South-eastern Asia,Female,35-39,"Trachea, bronchus, lung cancers",306.11597,185.98355,451.27929
Eastern Asia and South-eastern Asia,Female,40-44,"Trachea, bronchus, lung cancers",685.72758,416.69845,1010.1592
Eastern Asia and South-eastern Asia,Female,45-49,"Trachea, bronchus, lung cancers",1344.89726,816.75537,1979.50459
Eastern Asia and South-eastern Asia,Female,50-54,"Trachea, bronchus, lung cancers",2447.36017,1489.59115,3595.31666
Eastern Asia and South-eastern Asia,Female,55-59,"Trachea, bronchus, lung cancers",3279.25345,1995.2106,4824.26793
Eastern Asia and South-eastern Asia,Female,55-59,Lower respiratory infections,1003.76727,629.33764,1396.30774
Eastern Asia and South-eastern Asia,Male,30-34,Stroke,1394.93349,725.62918,2100.53496
Eastern Asia and South-eastern Asia,Male,35-39,Stroke,2131.25676,1108.28005,3172.00701
Eastern Asia and South-eastern Asia,Male,40-44,Stroke,4032.30098,2097.58955,5997.11928
Eastern Asia and South-eastern Asia,Male,45-49,Stroke,7190.94627,3740.64778,10708.04139
Eastern Asia and South-eastern Asia,Male,50-54,Stroke,12485.02923,6495.44388,18605.02118
Eastern Asia and South-eastern Asia,Male,55-59,Stroke,17049.39584,8864.5394,25408.14916
Eastern Asia and South-eastern Asia,Male,60-64,Stroke,24324.45452,12648.78438,36223.2727
Eastern Asia and South-eastern Asia,Male,65-69,Stroke,35710.07885,18593.34482,53573.35969
Eastern Asia and South-eastern Asia,Male,70-74,Stroke,38795.35127,20226.87521,58574.02497
Eastern Asia and South-eastern Asia,Male,75-79,Stroke,40514.37233,21109.02825,61154.62817
Eastern Asia and South-eastern Asia,Male,80+,Stroke,87741.72422,45747.07196,132361.5847
Eastern Asia and South-eastern Asia,Male,All,Stroke,271999.201,141656.7316,409372.9226
Eastern Asia and South-eastern Asia,Male,25-29,Chronic obstructive pulmonary disease,77.18471,28.60534,146.83606
Eastern Asia and South-eastern Asia,Male,40-44,Ischaemic heart disease,6686.68804,4458.90156,8446.4986
Eastern Asia and South-eastern Asia,Male,45-49,Ischaemic heart disease,10963.71245,7307.30947,13847.41414
Eastern Asia and South-eastern Asia,Male,50-54,Ischaemic heart disease,17370.24012,11581.01669,21939.07524
Eastern Asia and South-eastern Asia,Male,55-59,Ischaemic heart disease,22275.3323,14823.66844,28160.19634
Eastern Asia and South-eastern Asia,Male,25-29,Lower respiratory infections,366.6463,228.55627,510.9264
Eastern Asia and South-eastern Asia,Male,30-34,Lower respiratory infections,480.01136,303.78557,664.25724
Eastern Asia and South-eastern Asia,Male,35-39,Lower respiratory infections,498.91217,312.8716,692.28634
